Dates,NORMAL(mm),ACTUAL(mm) 
20-Mar-19,6.1,3.63
21-Mar-19,1.4,0
22-Mar-19,2.6,0
23-Mar-19,1.6,1.08
24-Mar-19,2.8,0
25-Mar-19,2.4,0
26-Mar-19,1.3,0
27-Mar-19,7.6,5.15
28-Mar-19,1.7,0
29-Mar-19,1.3,0
30-Mar-19,1.1,0
31-Mar-19,5.5,4.96
01-Apr-19,4.3,46.7
02-Apr-19,2.8,1.28
03-Apr-19,3.1,11
04-Apr-19,2.2,0.12
05-Apr-19,7.1,19.15
06-Apr-19,3.2,0
07-Apr-19,2.8,16.37
08-Apr-19,2.9,7.27
09-Apr-19,6.1,12.54
10-Apr-19,7.5,11.61
11-Apr-19,2.9,0
12-Apr-19,4.6,0
13-Apr-19,3.3,0
14-Apr-19,3.9,3.16
15-Apr-19,5.5,15.38
16-Apr-19,7.9,17.32
17-Apr-19,13.6,20.52
18-Apr-19,8.1,0
19-Apr-19,7.3,0
20-Apr-19,5.5,0
21-Apr-19,11.8,7.95
22-Apr-19,5.7,0.06
23-Apr-19,6.6,0
24-Apr-19,7.8,0
25-Apr-19,6.1,0
26-Apr-19,5.2,0
27-Apr-19,9,12.09
28-Apr-19,13.4,27.78
29-Apr-19,12.5,23.65
30-Apr-19,9.5,1.39
01-May-19,9.6,57.19
02-May-19,11.1,39.28
03-May-19,13.7,14.74
04-May-19,13.8,4.86
05-May-19,5,41.58
06-May-19,15.2,16.88
07-May-19,13.6,9.53
08-May-19,15.2,2.6
09-May-19,10.2,1.47
10-May-19,10.9,16.47
11-May-19,17.8,8.76
12-May-19,12,12.79
13-May-19,9.8,2.03
14-May-19,12.7,7.25
15-May-19,6.9,21.97
16-May-19,6.6,0.64
17-May-19,13.7,24.14
18-May-19,12.5,9.92
19-May-19,13.3,3.86
20-May-19,13.5,3.11
21-May-19,12.4,4.14
22-May-19,20.5,15.67
23-May-19,10.9,24.44
24-May-19,8.1,6.6
25-May-19,9.6,26.36
26-May-19,12,30.2
27-May-19,7.5,7.06
28-May-19,12.5,39.64
29-May-19,11.2,2.71
30-May-19,11.6,24.31
31-May-19,5.1,17.7
01-Jun-19,7.2,0
02-Jun-19,5.3,0
03-Jun-19,11.6,0
04-Jun-19,11.3,21.17
05-Jun-19,4.5,0.88
06-Jun-19,10.7,4.29
07-Jun-19,15.7,0.89
08-Jun-19,18.3,21.14
09-Jun-19,13.8,0.85
10-Jun-19,13.1,2.52
11-Jun-19,16.7,9.18
12-Jun-19,8.8,9.98
13-Jun-19,9.3,0
14-Jun-19,11,7.31
15-Jun-19,10,9.51
16-Jun-19,7.9,13.91
17-Jun-19,15.3,3.09
18-Jun-19,20.4,2.62
19-Jun-19,16.2,8.42
20-Jun-19,12.8,0
21-Jun-19,15.6,0.45
22-Jun-19,14.1,13.06
23-Jun-19,10.6,0
24-Jun-19,13.3,0.25
25-Jun-19,13.8,3.66
26-Jun-19,9.3,45.48
27-Jun-19,13.5,21.31
28-Jun-19,9.1,33.47
29-Jun-19,10,89.82
30-Jun-19,7.4,6.85
01-Jul-19,11.4,0.11
02-Jul-19,21.6,18.19
03-Jul-19,24.9,2.49
04-Jul-19,14,12.56
05-Jul-19,13.8,2.11
06-Jul-19,17.4,12.93
07-Jul-19,7.7,23.93
08-Jul-19,27.4,28.26
09-Jul-19,14.5,71.3
10-Jul-19,8.3,46.48
11-Jul-19,7.5,11.62
12-Jul-19,8,27.87
13-Jul-19,9,31.21
14-Jul-19,10.5,31.64
15-Jul-19,21.2,109.57
16-Jul-19,22.9,21.09
17-Jul-19,9.2,15.24
18-Jul-19,12.9,0.07
19-Jul-19,14.1,0.55
20-Jul-19,10.5,0.04
21-Jul-19,16,0.24
22-Jul-19,16.7,20.89
23-Jul-19,9.9,43.88
24-Jul-19,11.7,33.18
25-Jul-19,17.6,0.03
26-Jul-19,16.7,4.53
27-Jul-19,20.7,17.41
28-Jul-19,16.5,0
29-Jul-19,9.9,0.04
30-Jul-19,7.1,0
31-Jul-19,8,0.16
01-Aug-19,7.5,22.36
02-Aug-19,4.8,7.79
03-Aug-19,15.6,1.26
04-Aug-19,4.2,0.04
05-Aug-19,4.2,0
06-Aug-19,6.5,0
07-Aug-19,3.9,9.89
08-Aug-19,3.4,8.02
09-Aug-19,6.2,1.94
10-Aug-19,6.4,0.04
11-Aug-19,5.6,0.33
12-Aug-19,6.5,0
13-Aug-19,3.4,1.78
14-Aug-19,11.3,7.45
15-Aug-19,10.7,31.68
16-Aug-19,7.8,1.79
17-Aug-19,3.6,12.97
18-Aug-19,5.3,0
19-Aug-19,4,0.32
20-Aug-19,5.6,0
21-Aug-19,18.3,1.13
22-Aug-19,21.1,0
23-Aug-19,12.2,1.34
24-Aug-19,10,54.14
25-Aug-19,7.7,0.15
26-Aug-19,5.1,0
27-Aug-19,12.5,0.12
28-Aug-19,7.5,0.09
29-Aug-19,1.5,6.19
30-Aug-19,3.3,0
31-Aug-19,3.4,15.45
01-Sep-19,2,0.06
02-Sep-19,2.3,0.07
03-Sep-19,5,18.46
04-Sep-19,9.8,17.56
05-Sep-19,6,1.67
06-Sep-19,8.8,0.4
07-Sep-19,13,0.8
08-Sep-19,8.9,22.16
09-Sep-19,10.3,0.48
10-Sep-19,14.9,0.87
11-Sep-19,19,0.08
12-Sep-19,15,15.37
13-Sep-19,10.4,44.33
14-Sep-19,11.1,7.68
15-Sep-19,12.4,5.64
16-Sep-19,12.6,1.17
17-Sep-19,13.5,10.13
18-Sep-19,7.1,6.43
19-Sep-19,8.8,0
20-Sep-19,4.4,0
