Dates,NORMAL(mm) ,ACTUAL(mm)
20-Mar-19,0,1.23
21-Mar-19,0,3.28
22-Mar-19,0,0.49
23-Mar-19,0,12.58
24-Mar-19,0,4.49
25-Mar-19,0,0.02
26-Mar-19,0,0
27-Mar-19,0,1.36
28-Mar-19,0,0.87
29-Mar-19,0,0
30-Mar-19,0,0
31-Mar-19,0,7.71
01-Apr-19,0,5.3
02-Apr-19,0,4.37
03-Apr-19,0,19.83
04-Apr-19,0,0.06
05-Apr-19,0,5.17
06-Apr-19,0,0
07-Apr-19,0,0
08-Apr-19,0,1.03
09-Apr-19,0,0.29
10-Apr-19,0,6.54
11-Apr-19,0,0
12-Apr-19,0,0
13-Apr-19,0,0
14-Apr-19,0,0.04
15-Apr-19,0,0.78
16-Apr-19,0,0
17-Apr-19,0,4.07
18-Apr-19,0,2.88
19-Apr-19,0,3.09
20-Apr-19,0,0.69
21-Apr-19,0,1.14
22-Apr-19,0,0
23-Apr-19,0,0.05
24-Apr-19,0,0
25-Apr-19,0,0
26-Apr-19,0,0
27-Apr-19,0,0.35
28-Apr-19,0,0.01
29-Apr-19,0,15.22
30-Apr-19,0,30.02
01-May-19,0,42.56
02-May-19,0,42.56
03-May-19,0,24.31
04-May-19,0,0.51
05-May-19,0,24.73
06-May-19,0,10.04
07-May-19,0,13.17
08-May-19,0,3.5
09-May-19,0,41.05
10-May-19,0,20.38
11-May-19,0,26.62
12-May-19,0,50.86
13-May-19,0,33.91
14-May-19,0,11.59
15-May-19,0,2.97
16-May-19,0,4.29
17-May-19,0,5.21
18-May-19,0,21.51
19-May-19,0,11.9
20-May-19,0,8.96
21-May-19,0,21.61
22-May-19,0,6.87
23-May-19,0,13.27
24-May-19,0,4.26
25-May-19,0,0.17
26-May-19,0,24.9
27-May-19,0,20.65
28-May-19,0,1.67
29-May-19,0,0
30-May-19,0,4.31
31-May-19,0,0.15
01-Jun-19,0,0.16
02-Jun-19,0,0
03-Jun-19,0,2.52
04-Jun-19,0,25.1
05-Jun-19,0,0.04
06-Jun-19,0,3.14
07-Jun-19,0,0.41
08-Jun-19,0,14.92
09-Jun-19,0,17
10-Jun-19,0,36.51
11-Jun-19,0,3.65
12-Jun-19,0,0.04
13-Jun-19,0,1.18
14-Jun-19,0,0.01
15-Jun-19,0,50.52
16-Jun-19,0,19.27
17-Jun-19,0,2.26
18-Jun-19,0,9.13
19-Jun-19,0,0.01
20-Jun-19,0,1.91
21-Jun-19,0,12.91
22-Jun-19,0,13.08
23-Jun-19,0,15.34
24-Jun-19,0,6.89
25-Jun-19,0,7.44
26-Jun-19,0,9.06
27-Jun-19,0,31.9
28-Jun-19,0,31.7
29-Jun-19,0,8.25
30-Jun-19,0,0
01-Jul-19,0,2.16
02-Jul-19,0,55.25
03-Jul-19,0,13.91
04-Jul-19,0,1.49
05-Jul-19,0,6.09
06-Jul-19,0,5.26
07-Jul-19,0,52.83
08-Jul-19,0,13.36
09-Jul-19,0,46.26
10-Jul-19,0,53.56
11-Jul-19,0,30.34
12-Jul-19,0,17.32
13-Jul-19,0,16.56
14-Jul-19,0,13.33
15-Jul-19,0,21.5
16-Jul-19,0,24.2
17-Jul-19,0,1.01
18-Jul-19,0,0.79
19-Jul-19,0,0
20-Jul-19,0,14.57
21-Jul-19,0,30.18
22-Jul-19,0,35.32
23-Jul-19,0,12.68
24-Jul-19,0,14.24
25-Jul-19,0,8.19
26-Jul-19,0,18.53
27-Jul-19,0,4.44
28-Jul-19,0,3.37
29-Jul-19,0,22.98
30-Jul-19,0,25.42
31-Jul-19,0,41.94
01-Aug-19,0,22.69
02-Aug-19,0,3.59
03-Aug-19,0,7.05
04-Aug-19,0,7.57
05-Aug-19,0,0.03
06-Aug-19,0,0.62
07-Aug-19,0,0.44
08-Aug-19,0,0.62
09-Aug-19,0,6.46
10-Aug-19,0,1
11-Aug-19,0,0.12
12-Aug-19,0,0
13-Aug-19,0,0.6
14-Aug-19,0,27.42
