Dates,NORMAL(mm) ,ACTUAL(mm) 
20-Mar-19,3.6,0.99
21-Mar-19,3.1,1.38
22-Mar-19,3.8,2.58
23-Mar-19,3.2,8.02
24-Mar-19,2.8,0.47
25-Mar-19,4.1,0.15
26-Mar-19,1.6,0
27-Mar-19,4.2,2.17
28-Mar-19,9.1,4.07
29-Mar-19,5.3,0
30-Mar-19,2.7,0
31-Mar-19,6.7,12.19
01-Apr-19,6,9.46
02-Apr-19,4.1,1.43
03-Apr-19,3.2,17.63
04-Apr-19,6.1,0.21
05-Apr-19,4.9,7.45
06-Apr-19,3.3,0
07-Apr-19,4.2,0
08-Apr-19,4.3,4.48
09-Apr-19,4.5,1.26
10-Apr-19,5.2,9.01
11-Apr-19,6.9,0
12-Apr-19,7.8,0
13-Apr-19,5.7,0
14-Apr-19,7.8,0
15-Apr-19,8.6,0.4
16-Apr-19,7.1,0.01
17-Apr-19,6.8,6.81
18-Apr-19,12.7,0.73
19-Apr-19,7,4.39
20-Apr-19,6.2,1.04
21-Apr-19,4,3.22
22-Apr-19,6.8,0.36
23-Apr-19,7.6,0
24-Apr-19,11.3,0
25-Apr-19,8.1,0
26-Apr-19,7.7,0
27-Apr-19,7.9,0.05
28-Apr-19,10,0.81
29-Apr-19,9.9,7.94
30-Apr-19,14.2,56.08
01-May-19,15.9,33.67
02-May-19,18.1,41.7
03-May-19,10.2,7.2
04-May-19,9.6,0.96
05-May-19,11.9,36.31
06-May-19,11.9,8.22
07-May-19,17.4,20.01
08-May-19,17.7,4.63
09-May-19,11.3,31.23
10-May-19,8.6,32.87
11-May-19,9.5,31.57
12-May-19,12.3,6.21
13-May-19,14.8,12.45
14-May-19,16.6,14.01
15-May-19,14.9,4.19
16-May-19,17.6,2.57
17-May-19,10.6,11.81
18-May-19,14.8,18.73
19-May-19,15.1,5.79
20-May-19,25.3,16.27
21-May-19,20.4,5.74
22-May-19,19.2,13.65
23-May-19,15.1,15.59
24-May-19,17.4,13.3
25-May-19,21.1,0.14
26-May-19,19.7,3.16
27-May-19,19.5,25.14
28-May-19,17.3,4.62
29-May-19,25.5,0
30-May-19,23.8,8.87
31-May-19,11.2,1.89
01-Jun-19,16,1.05
02-Jun-19,14.9,0
03-Jun-19,22.3,7.53
04-Jun-19,23,4.81
05-Jun-19,15.2,0.5
06-Jun-19,19.2,0.05
07-Jun-19,20.7,2.97
08-Jun-19,19.2,10.86
09-Jun-19,23,15.34
10-Jun-19,17.6,15.8
11-Jun-19,11.8,2.42
12-Jun-19,23,0
13-Jun-19,16.7,0.67
14-Jun-19,28.2,5.98
15-Jun-19,33.1,26.74
16-Jun-19,28.4,16.76
17-Jun-19,27.5,4.38
18-Jun-19,20.6,16.06
19-Jun-19,21.8,1.23
20-Jun-19,20.3,3.86
21-Jun-19,26,23.17
22-Jun-19,25,28.58
23-Jun-19,22.6,11.15
24-Jun-19,19.9,6.7
25-Jun-19,17.9,8.81
26-Jun-19,24.1,25.53
27-Jun-19,20.4,22.95
28-Jun-19,19.6,27.14
29-Jun-19,15.9,5.81
30-Jun-19,21.7,0.3
01-Jul-19,14.8,8.62
02-Jul-19,18.9,52.03
03-Jul-19,24.4,34.73
04-Jul-19,22,2.84
05-Jul-19,28.4,30.43
06-Jul-19,19.7,2.56
07-Jul-19,11.4,42.88
08-Jul-19,21.6,21.7
09-Jul-19,19.8,34.17
10-Jul-19,19.6,44.14
11-Jul-19,17.5,20.39
12-Jul-19,20.2,8.08
13-Jul-19,17.1,11.88
14-Jul-19,17.2,5.79
15-Jul-19,25.5,25.74
16-Jul-19,19.8,17.71
17-Jul-19,18.5,3.53
18-Jul-19,16.9,0.18
19-Jul-19,12.9,0.01
20-Jul-19,14.5,11.16
21-Jul-19,27.9,30.79
22-Jul-19,21.1,27.31
23-Jul-19,17.1,13.41
24-Jul-19,18.6,1.98
25-Jul-19,15.8,18.06
26-Jul-19,23,48.74
27-Jul-19,15.9,4.39
28-Jul-19,22.9,9.27
29-Jul-19,21.9,9.66
30-Jul-19,15.3,22.82
31-Jul-19,17.2,44
01-Aug-19,11.3,21.96
02-Aug-19,16.1,3.18
03-Aug-19,12.3,7.99
04-Aug-19,12.4,23.89
05-Aug-19,15.9,0.13
06-Aug-19,16.8,0.17
07-Aug-19,13.4,0.31
08-Aug-19,11.7,1.37
09-Aug-19,16.4,1.12
10-Aug-19,24.5,1.94
11-Aug-19,12.4,0.22
12-Aug-19,13,0
13-Aug-19,15.1,0.07
14-Aug-19,17.5,7.5
15-Aug-19,14.6,4.6
16-Aug-19,15.4,6.03
17-Aug-19,21.9,1.05
18-Aug-19,14.2,23.4
19-Aug-19,18.7,0.24
20-Aug-19,14.3,0.76
21-Aug-19,12.8,4.17
22-Aug-19,13,2.24
23-Aug-19,15.9,11.55
24-Aug-19,25.9,4.41
25-Aug-19,15.6,0
26-Aug-19,17.1,11.3
27-Aug-19,15.6,2.78
28-Aug-19,16.5,16.59
29-Aug-19,11.9,0
30-Aug-19,8.8,19.72
31-Aug-19,11,0.29
01-Sep-19,10.1,5.54
02-Sep-19,17.2,0.79
03-Sep-19,12.7,13.4
04-Sep-19,12.1,9.02
05-Sep-19,19.6,21.33
06-Sep-19,15.7,8.59
07-Sep-19,16,3.27
08-Sep-19,12.3,7.24
09-Sep-19,12.4,20.96
10-Sep-19,9,22.87
11-Sep-19,15.1,18.18
12-Sep-19,14.5,14.34
13-Sep-19,18.3,9.25
14-Sep-19,16.2,14.6
15-Sep-19,20.4,17.78
16-Sep-19,13,39.39
17-Sep-19,13.5,15.92
18-Sep-19,23.1,6.19
19-Sep-19,15.4,0.59
20-Sep-19,12,0
21-Sep-19,15.3,0.38
22-Sep-19,18.7,0.87
23-Sep-19,15,20.85
24-Sep-19,8.7,49.75
25-Sep-19,7.7,4.1
26-Sep-19,13.2,0.92
27-Sep-19,14.9,16.01
28-Sep-19,13.9,1.11
29-Sep-19,13.1,2.99
30-Sep-19,16.4,1.21
01-Oct-19,10.5,6.06
02-Oct-19,9.9,2.38
03-Oct-19,8.9,0
04-Oct-19,10.5,15.39
05-Oct-19,12.3,17.96
06-Oct-19,11.4,2.52
07-Oct-19,12.5,18.89
08-Oct-19,11.2,0.29
09-Oct-19,9.7,7.89
10-Oct-19,10.9,13.89
11-Oct-19,9.5,4.49
12-Oct-19,7.4,2.98
13-Oct-19,6.7,0
14-Oct-19,7.1,0
15-Oct-19,4.4,0
16-Oct-19,3.6,0
17-Oct-19,3.9,0
18-Oct-19,5.6,0
19-Oct-19,5.1,0.05
20-Oct-19,2.8,0
21-Oct-19,4,6.46
22-Oct-19,5.3,10.32
23-Oct-19,5.4,6.07
24-Oct-19,3.9,4.31
25-Oct-19,4.5,6.56
26-Oct-19,1.7,21.52
27-Oct-19,2.7,8.22
28-Oct-19,0.6,0.16
29-Oct-19,0.2,0
30-Oct-19,0.9,0
31-Oct-19,1.7,0
01-Nov-19,1.4,0
02-Nov-19,1.2,0
03-Nov-19,1.2,0
04-Nov-19,0.4,0
05-Nov-19,1.7,17.96
06-Nov-19,1.7,0.22
07-Nov-19,0.7,0
08-Nov-19,1.7,0
09-Nov-19,1,0
10-Nov-19,0.7,0.42
11-Nov-19,0.1,2.89
12-Nov-19,0.5,0
13-Nov-19,0.4,0
14-Nov-19,1.2,0
15-Nov-19,1.3,0
16-Nov-19,1,0.63
17-Nov-19,0.7,0
18-Nov-19,1,2.83
19-Nov-19,1.4,0.25
20-Nov-19,1.3,0.34
21-Nov-19,0.5,0
22-Nov-19,1.9,0
23-Nov-19,0.7,0
24-Nov-19,0.8,0
25-Nov-19,1,0
26-Nov-19,1.6,0
27-Nov-19,0.4,0
28-Nov-19,1,0
29-Nov-19,0.5,0
30-Nov-19,1.7,0
01-Dec-19,2.8,6.2
02-Dec-19,0.4,0.09
03-Dec-19,0.1,0
04-Dec-19,0.1,0
05-Dec-19,0.7,0
06-Dec-19,1.5,0
07-Dec-19,2.2,0
08-Dec-19,0.3,0
09-Dec-19,0.1,0
10-Dec-19,1.9,0
11-Dec-19,1.6,0
12-Dec-19,0.7,0.74
13-Dec-19,0.7,0
14-Dec-19,0.5,0
15-Dec-19,1.3,0
16-Dec-19,0.5,0
17-Dec-19,0.7,0.29
18-Dec-19,1,0.22
19-Dec-19,0.6,0
20-Dec-19,0.4,0
21-Dec-19,0.1,0
22-Dec-19,0.7,0
23-Dec-19,0.5,0.07
24-Dec-19,0.6,0
25-Dec-19,1.2,0
26-Dec-19,0.4,0.03
27-Dec-19,1.1,0.01
28-Dec-19,0.9,0.01
29-Dec-19,1.5,0
30-Dec-19,0.9,0
31-Dec-19,0.4,0
01-Jan-20,0.3,0
02-Jan-20,0.3,0.05
03-Jan-20,0.3,0.01
04-Jan-20,0.8,8.33
05-Jan-20,0.3,2.55
06-Jan-20,0.2,6.37
07-Jan-20,1.3,0
08-Jan-20,1.3,0
09-Jan-20,0.2,0.09
10-Jan-20,1.6,0.01
11-Jan-20,1.7,0
12-Jan-20,0.7,0
13-Jan-20,1,0
14-Jan-20,1.7,0
15-Jan-20,0.7,0
16-Jan-20,0.7,0
17-Jan-20,1.1,0
18-Jan-20,1.2,0
19-Jan-20,0.4,0.06
20-Jan-20,0.9,7.04
21-Jan-20,1.5,2.43
22-Jan-20,1.2,0.15
23-Jan-20,0.7,0.18
24-Jan-20,1.2,7.44
25-Jan-20,0.8,0
26-Jan-20,0.2,0
27-Jan-20,0.3,0
28-Jan-20,2.2,0
29-Jan-20,1.9,0
30-Jan-20,2.2,0.01
31-Jan-20,2,6.96
01-Feb-20,2.3,0.05
02-Feb-20,3.1,0.36
03-Feb-20,1,0.5
04-Feb-20,2.2,0
