Dates,NORMAL(mm) ,ACTUAL(mm) 
20-Mar-19,0.3,0
21-Mar-19,0,0
22-Mar-19,0.5,0
23-Mar-19,1,0
24-Mar-19,0,0
25-Mar-19,0.1,0
26-Mar-19,0.5,3.09
27-Mar-19,0.1,0.07
28-Mar-19,0.4,0
29-Mar-19,0,0
30-Mar-19,0.1,0
31-Mar-19,0.4,0
01-Apr-19,0.1,0
02-Apr-19,0,0
03-Apr-19,0,0
04-Apr-19,0.1,0
05-Apr-19,0,0
06-Apr-19,0.1,0
07-Apr-19,0,2.81
08-Apr-19,0.1,0
09-Apr-19,0.1,0
10-Apr-19,0,0.87
11-Apr-19,0,0
12-Apr-19,0.1,0
13-Apr-19,0.4,0
14-Apr-19,0,0
15-Apr-19,0.1,0
16-Apr-19,0,0
17-Apr-19,0.2,0.01
18-Apr-19,0.3,0.07
19-Apr-19,0.3,0
20-Apr-19,0.6,0
21-Apr-19,0.1,0
22-Apr-19,0.4,0
23-Apr-19,0.2,0
24-Apr-19,0.6,0
25-Apr-19,0.2,0
26-Apr-19,0.1,0
27-Apr-19,0.1,0
28-Apr-19,0,0
29-Apr-19,0.1,0
30-Apr-19,0.2,0
01-May-19,0.4,0
02-May-19,0.9,0
03-May-19,0.8,0
04-May-19,0.2,7.54
05-May-19,0.2,0
06-May-19,0.4,0
07-May-19,0.4,0
08-May-19,1.1,0
09-May-19,0.7,0
10-May-19,0.2,0
11-May-19,0.2,0
12-May-19,0.3,0
13-May-19,1.4,0
14-May-19,1.3,0
15-May-19,0.8,0
16-May-19,1.2,0.13
17-May-19,0.2,0
18-May-19,0.4,0
19-May-19,0.1,0
20-May-19,0.6,0
21-May-19,0.9,0
22-May-19,0.2,0
23-May-19,0.2,0
24-May-19,0.1,0
25-May-19,0,0
26-May-19,0.2,0
27-May-19,1.2,0
28-May-19,1.2,0
29-May-19,1.5,0
30-May-19,1,0
31-May-19,0.2,0.16
01-Jun-19,0.8,0
02-Jun-19,1.2,0
03-Jun-19,1.7,0.26
04-Jun-19,3.2,0
05-Jun-19,2.7,0
06-Jun-19,1.5,0
07-Jun-19,1.6,0
08-Jun-19,0.5,0
09-Jun-19,2.5,0
10-Jun-19,1.9,0
11-Jun-19,1.9,0.52
12-Jun-19,2.1,0
13-Jun-19,2.8,5.68
14-Jun-19,7.4,0
15-Jun-19,2.7,0
16-Jun-19,4.7,0
17-Jun-19,5.6,0
18-Jun-19,4,0
19-Jun-19,4.4,0
20-Jun-19,4.3,0.01
21-Jun-19,3.2,1.61
22-Jun-19,3.6,9
23-Jun-19,5.3,25.89
24-Jun-19,3.9,0
25-Jun-19,4,0
26-Jun-19,7.5,0
27-Jun-19,8.3,17.99
28-Jun-19,9.7,0.07
29-Jun-19,7.9,0
30-Jun-19,7.3,0
01-Jul-19,6.4,10.05
02-Jul-19,8.1,0.02
03-Jul-19,7.9,0.04
04-Jul-19,7.7,2.36
05-Jul-19,7,1.09
06-Jul-19,9.6,2.56
07-Jul-19,11.1,3.74
08-Jul-19,7.8,42.07
09-Jul-19,10.2,64.96
10-Jul-19,14,46.92
11-Jul-19,11.7,104.86
12-Jul-19,12.3,85.56
13-Jul-19,10.1,56.86
14-Jul-19,14.9,35.87
15-Jul-19,8.7,15.01
16-Jul-19,11,0.78
17-Jul-19,11.1,0
18-Jul-19,18.8,0
19-Jul-19,10.7,0.08
20-Jul-19,10.2,1.01
21-Jul-19,10.8,1.67
22-Jul-19,12.5,4.35
23-Jul-19,6.8,0.55
24-Jul-19,7.9,4.13
25-Jul-19,9.1,2.12
26-Jul-19,7.7,9.55
27-Jul-19,10,13.16
28-Jul-19,9.6,24.78
