Dates,NORMAL(mm) ,ACTUAL(mm) 
20-Mar-19,0.3,0
21-Mar-19,0,0
22-Mar-19,0.3,0
23-Mar-19,0.4,0
24-Mar-19,1.3,0
25-Mar-19,0.9,0
26-Mar-19,0.4,0.77
27-Mar-19,0.1,0
28-Mar-19,0,0
29-Mar-19,0.3,0
30-Mar-19,0.8,0
31-Mar-19,1.6,0
01-Apr-19,0.6,0
02-Apr-19,0,0
03-Apr-19,0,0
04-Apr-19,0.3,0
05-Apr-19,0,0
06-Apr-19,0.1,0
07-Apr-19,0,11.07
08-Apr-19,0,0
09-Apr-19,0,0
10-Apr-19,0.3,0
11-Apr-19,0.7,0
12-Apr-19,0.6,0
13-Apr-19,0.1,0
14-Apr-19,0.1,0
15-Apr-19,0.1,0
16-Apr-19,0.3,0
17-Apr-19,0.2,0
18-Apr-19,0.5,0
19-Apr-19,0.2,0
20-Apr-19,0.1,0
21-Apr-19,0.2,0
22-Apr-19,0.3,0
23-Apr-19,0.4,0
24-Apr-19,0.5,0
25-Apr-19,0.7,0
26-Apr-19,0.1,0
27-Apr-19,0.2,0
28-Apr-19,0,0
29-Apr-19,0.4,0
30-Apr-19,0.2,0
01-May-19,1,0
02-May-19,0.4,0
03-May-19,0.4,0.01
04-May-19,1.4,0.39
05-May-19,0.1,0
06-May-19,1,0
07-May-19,0.1,0
08-May-19,0.7,0
09-May-19,0.9,0
10-May-19,0.1,0
11-May-19,0.9,0
12-May-19,0.7,0
13-May-19,2.5,0.01
14-May-19,0.3,0.07
15-May-19,1.2,0
16-May-19,0.9,0
17-May-19,0,0
18-May-19,0.9,0
19-May-19,1,0
20-May-19,1.4,0
21-May-19,1.4,0
22-May-19,0.4,0
23-May-19,0.7,0
24-May-19,0.1,0
25-May-19,0.5,0
26-May-19,0.5,0
27-May-19,0.7,0
28-May-19,1.2,0
29-May-19,1.1,0
30-May-19,1.8,0
31-May-19,0.3,0
01-Jun-19,1.2,0
02-Jun-19,2.8,0
03-Jun-19,4.3,3.81
04-Jun-19,2.2,0
05-Jun-19,3.9,0
06-Jun-19,4.1,0
07-Jun-19,2,0.68
08-Jun-19,1.3,0
09-Jun-19,1.4,0
10-Jun-19,5.3,0
11-Jun-19,3.9,0
12-Jun-19,1.3,0
13-Jun-19,2.2,2.94
14-Jun-19,2.6,0
15-Jun-19,5,0
16-Jun-19,4.3,0
17-Jun-19,4.4,0
18-Jun-19,6.5,1.42
19-Jun-19,5.8,0
20-Jun-19,4.1,1.04
21-Jun-19,1.7,0
22-Jun-19,2.3,5.09
23-Jun-19,5.6,7.72
24-Jun-19,5.8,11.72
25-Jun-19,5,0.05
26-Jun-19,8.1,0.19
27-Jun-19,7.1,6.72
28-Jun-19,9.6,0
29-Jun-19,8.6,0
30-Jun-19,7.6,0
01-Jul-19,9.1,0.02
02-Jul-19,10.4,0.01
03-Jul-19,4.5,0.02
04-Jul-19,6.5,0.02
05-Jul-19,10.8,0.41
06-Jul-19,12.4,1.34
07-Jul-19,11.1,1.52
08-Jul-19,9.8,18.47
09-Jul-19,9.5,70.13
10-Jul-19,8.6,141.4
11-Jul-19,8.4,54.62
12-Jul-19,12.3,17.55
13-Jul-19,8.9,82.19
14-Jul-19,13.1,67.76
15-Jul-19,17.4,0.55
16-Jul-19,18.5,4.53
17-Jul-19,14.2,0.56
18-Jul-19,16.4,0.01
19-Jul-19,15.4,1.36
20-Jul-19,10.1,0.79
21-Jul-19,16.5,0.41
22-Jul-19,13.6,15.33
23-Jul-19,10.2,0
24-Jul-19,5,25.15
25-Jul-19,12.6,26.43
26-Jul-19,13.3,22.9
27-Jul-19,11.4,14.06
28-Jul-19,10,12.41
