Dates,NORMAL(mm) ,ACTUAL(mm) 
20-Mar-19,0.5,0
21-Mar-19,0,0
22-Mar-19,0.8,0
23-Mar-19,1.4,0
24-Mar-19,0.6,0
25-Mar-19,0.7,0
26-Mar-19,0.2,0.52
27-Mar-19,0.7,0.04
28-Mar-19,0.1,0
29-Mar-19,0.1,0
30-Mar-19,0.6,0
31-Mar-19,0.9,0
01-Apr-19,0.7,0
02-Apr-19,0.1,0
03-Apr-19,0,0
04-Apr-19,0.2,0
05-Apr-19,0.1,0
06-Apr-19,0.3,0
07-Apr-19,0,5.7
08-Apr-19,0,0
09-Apr-19,0.2,0
10-Apr-19,0.2,0.2
11-Apr-19,0.3,0
12-Apr-19,0.6,0
13-Apr-19,0.2,0
14-Apr-19,0.2,0
15-Apr-19,1.4,0
16-Apr-19,0.6,0
17-Apr-19,0.6,2.06
18-Apr-19,1.1,0.09
19-Apr-19,0.7,0
20-Apr-19,1.3,0
21-Apr-19,0.2,0
22-Apr-19,1.2,0
23-Apr-19,0.8,0.31
24-Apr-19,0.6,0
25-Apr-19,0.4,0
26-Apr-19,0,0
27-Apr-19,1,0
28-Apr-19,0,0
29-Apr-19,0.1,0
30-Apr-19,0.2,0
01-May-19,1.8,0
02-May-19,0.1,0
03-May-19,1.7,0
04-May-19,1.6,3.08
05-May-19,0.7,0
06-May-19,0.2,0
07-May-19,0.3,0
08-May-19,0.8,0
09-May-19,1.4,0
10-May-19,0.3,0
11-May-19,1.6,0
12-May-19,1,0
13-May-19,4.4,0.02
14-May-19,1.4,0.04
15-May-19,1.7,0
16-May-19,1.3,0
17-May-19,0.3,0
18-May-19,0.6,0
19-May-19,0.9,0
20-May-19,0.6,0
21-May-19,1,0
22-May-19,1.5,0
23-May-19,0.3,0
24-May-19,0.4,0
25-May-19,0.8,0
26-May-19,0.4,0
27-May-19,1,0
28-May-19,1.1,0
29-May-19,1.6,0
30-May-19,2.4,0
31-May-19,1.4,0
01-Jun-19,1.5,0
02-Jun-19,2.4,0
03-Jun-19,3.6,0.94
04-Jun-19,3.3,0
05-Jun-19,4.2,0
06-Jun-19,6.9,0
07-Jun-19,1,1.61
08-Jun-19,3.1,0
09-Jun-19,3.7,0
10-Jun-19,4.9,0
11-Jun-19,2.8,0.94
12-Jun-19,2.2,0
13-Jun-19,4,6.28
14-Jun-19,3.8,0
15-Jun-19,4.4,0
16-Jun-19,4.9,0
17-Jun-19,5.9,0
18-Jun-19,4.6,0.38
19-Jun-19,6.7,0
20-Jun-19,6.2,0
21-Jun-19,4.1,0.53
22-Jun-19,8.2,53.69
23-Jun-19,7.1,41.87
24-Jun-19,7.6,0.24
25-Jun-19,7.9,0.01
26-Jun-19,9.4,0.22
27-Jun-19,6.9,16.81
28-Jun-19,5.3,0
29-Jun-19,12,0
30-Jun-19,8,0.78
01-Jul-19,10.8,3.92
02-Jul-19,9.1,0.01
03-Jul-19,5,0
04-Jul-19,6.8,0.2
05-Jul-19,7.7,2.13
06-Jul-19,10.2,13.02
07-Jul-19,13,0.88
08-Jul-19,7.1,15.21
09-Jul-19,13.1,36.66
10-Jul-19,11.3,73.86
11-Jul-19,11.4,27.48
12-Jul-19,12.4,83.07
13-Jul-19,6.6,65.13
14-Jul-19,14.8,36.23
15-Jul-19,20.8,0.07
16-Jul-19,11.3,14.82
17-Jul-19,22.2,0
18-Jul-19,13.3,0
19-Jul-19,13.3,8.03
20-Jul-19,7.9,4.06
21-Jul-19,13,2.58
22-Jul-19,13.1,1.64
23-Jul-19,10.2,0.16
24-Jul-19,8.1,14.93
25-Jul-19,9.7,19.34
26-Jul-19,11.1,24.41
27-Jul-19,7.6,13.77
28-Jul-19,14.2,10.87
29-Jul-19,15.1,0.61
30-Jul-19,9.9,0.02
31-Jul-19,12.6,0.02
01-Aug-19,15.9,0
02-Aug-19,11.1,0.51
03-Aug-19,14.3,0.02
